RH Account #,RH Name,Work Title,Wr Wrk Inst,Scenario Name,License Type,Dist TOU,Agg LC ID,Agg LC Name,Gross Amount,Net Amount
1000002859,John Wiley & Sons - Books,Aerospace America,122813964,ACL Scenario 10/05/202212,ACL,DIGITAL,1,Food and Tobacco,300.0000000000,252.1000000000
1000002859,John Wiley & Sons - Books,Aerospace America,122813964,ACL Scenario 10/05/202212,ACL,PRINT,1,Food and Tobacco,200.0000000000,177.1000000000
1000002859,John Wiley & Sons - Books,Technology review,122820638,JACDCL Scenario 10/05/202212,JACDCL,DIGITAL,51,Materials,100.0000000000,84.4000000000
1000002859,John Wiley & Sons - Books,Technology review,122820638,JACDCL Scenario 10/05/202212,JACDCL,PRINT,51,Materials,50.0000000000,42.4000000000
1000000001,Rothchild Consultants,Technology review,122820638,JACDCL Scenario 10/05/202212,JACDCL,DIGITAL,51,Materials,100.0000000000,84.4000000000
1000000001,Rothchild Consultants,Technology review,122820638,JACDCL Scenario 10/05/202212,JACDCL,PRINT,51,Materials,50.0000000000,42.4000000000
Grand Total,,,,,,,,,800.0000000000,682.8000000000
,
Report Name,Report Period,User,Report Date,Scenarios
ACL Liability Details Report,202212,,10/05/2022 2:30 PM,"ACL Scenario 10/05/202212, JACDCL Scenario 10/05/202212"
