Detail ID,Detail Status,Product Family,Usage Batch Name,Payment Date,RH Account #,RH Name,Payee Account #,Payee Name,Wr Wrk Inst,System Title,Title,Standard Number,Amt in USD,Service Fee %,Scenario Name,Check #,Check Date,Event ID,Dist. Name,Dist. Date,Period Ending
035c57a2-375f-421e-b92f-0b62a3d7fdda,SENT_TO_LM,FAS,Undistributed Liabilities Reconciliation Report Batch 1,01/01/2010,1000009522,,1000009522,,243904752,100 ROAD MOVIES,100 ROAD MOVIES,1008902112317622XX,50.00,32.0,Undistributed Liabilities Reconciliation Report scenario for batch 1,,,,,,
2641e7fe-2a5a-4cdf-8879-48816d705169,LOCKED,FAS,Test Batch 2,01/11/2017,1000000003,South African Institute of Mining and Metallurgy,1000000003,South African Institute of Mining and Metallurgy,471137967,Cell Biology,Cell Biology,1003324112314587XX,6509.31,32.0,Test Scenario,,,,,,
405491b1-49a9-4b70-9cdb-d082be6a802d,LOCKED,FAS,Test Batch 2,01/11/2017,1000000004,Computers for Design and Construction,1000000004,Computers for Design and Construction,122235139,BOWL OF BERRIES WITH SUGAR COOKIES,BOWL OF BERRIES WITH SUGAR COOKIES,452365874521235XX,1301.86,32.0,Test Scenario,,,,,,
4ddfcb74-cb72-48f6-9ee4-8b4e05afce75,LOCKED,FAS,Test Batch 2,01/11/2017,1000000006,Januz Marketing Communications,1000000006,Januz Marketing Communications,471137469,Solar Cells,Solar Cells,452365874521235XX,2438.82,32.0,Test Scenario,,,,,,
580487a7-aa96-47c8-a78e-1ac077fd61ae,SENT_TO_LM,FAS2,Undistributed Liabilities Reconciliation Report Batch 2,01/01/2010,1000009522,,1000009522,,243904752,100 ROAD MOVIES,100 ROAD MOVIES,1008902112317622XX,250.00,32.0,Undistributed Liabilities Reconciliation Report scenario for batch 2,,,,,,
82824546-c34d-4102-9939-62c50f356f5e,SENT_TO_LM,FAS,Undistributed Liabilities Reconciliation Report Batch 1,01/01/2010,1000009522,,1000009522,,243904752,100 ROAD MOVIES,100 ROAD MOVIES,1008902112317622XX,50.00,32.0,Undistributed Liabilities Reconciliation Report scenario for batch 1,,,,,,
9f96760c-0de9-4cee-abf2-65521277281b,ELIGIBLE,FAS2,Test Batch 1,01/11/2017,1000000001,Rothchild Consultants,1000000001,Rothchild Consultants,122235134,Chicken Breast On Grill With Flames,CHICKEN BREAST ON GRILL WITH FLAMES,2558902245377325XX,26776.51,0.0,,,,,,,
e2b3c369-3084-41ad-92b5-62197660d645,WORK_NOT_FOUND,FAS,Batch with NTS,02/12/2021,,,,,,,Wissenschaft & Forschung Japan,2192-3558,500.00,16.0,,,,,,,
e4a81fad-7b0e-4c67-8df2-112c8913e45e,ELIGIBLE,FAS2,Test Batch 1,01/11/2017,1000000002,Royal Society of Victoria,1000000002,Royal Society of Victoria,243904752,100 ROAD MOVIES,100 ROAD MOVIES,1003324112314587XX,13523.49,0.0,,,,,,,
fcecfba8-ca12-4543-83df-efdca1d0d504,SENT_TO_LM,FAS2,Undistributed Liabilities Reconciliation Report Batch 2,01/01/2010,1000009522,,1000009522,,243904752,100 ROAD MOVIES,100 ROAD MOVIES,1008902112317622XX,250.00,32.0,Undistributed Liabilities Reconciliation Report scenario for batch 2,,,,,,
