Usage Batch Name,RRO Account Number,RRO Name,Payment Date,Load Date,Gross Fund Pool in USD,# Details NTS,Gross USD NTS
Undistributed Liabilities Reconciliation Report Batch 5,2000017000,"CLA, The Copyright Licensing Agency Ltd.",01/01/2010,01/01/2010,1000.00,1,155.00
AT_batch-summary-report-7_BATCH,2000017000,"CLA, The Copyright Licensing Agency Ltd.",01/04/2018,01/01/2010,650.00,2,50.00
AT_batch-summary-report-12_BATCH,2000017000,"CLA, The Copyright Licensing Agency Ltd.",05/08/2018,01/01/2010,600.00,2,100.00
Undistributed Liabilities Reconciliation Report Batch 6,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/02/2010,01/01/2010,60.00,1,20.00
AT_batch-summary-report-9_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",05/08/2018,01/01/2010,550.00,2,50.00
AT_batch-summary-report-6_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,01/01/2010,450.00,2,50.00
AT_batch-summary-report-5_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,01/01/2010,450.00,2,50.00
AT_batch-summary-report-4_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,01/01/2010,450.00,2,50.00
AT_batch-summary-report-2_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,01/01/2010,250.00,2,50.00
AT_batch-summary-report-8_BATCH,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",01/04/2018,01/01/2010,550.00,2,50.00
AT_batch-summary-report-11_BATCH,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",05/08/2018,01/01/2010,100.00,2,100.00
NTS Withdrawn Report Batch,1000002901,Kluwer Academic Publishers - Dordrecht,01/11/2017,01/01/2010,30001.00,3,600.00
