Title,Article,Standard Number,Wr Wrk Inst,RH Account #,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author
,,,,,,,,,,,,
"1984",Na,"9.78015E+12",123456789,1000009522,"null","N/A",null,60.86,"Univ,Bus,Doc,S",2015,2014,
"1984",Na,"9.78015E+12",123456789,1000009522,"null","N/A",null,60.86,"Univ,Bus,Doc,S",2015,2016,
"1984",Na,"9.78015E+12",123456789,1000009522,"null","N/A",null,60.86,"Univ,Bus,Doc,S",2015,2016,
"1984",Na,"9.78015E+12",123456789,1000009522,"null","N/A",null,60.86,"Univ,Bus,Doc,S",2015,2016,
TitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleT,ArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticle,Standard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard Nu,Wr Wrk InstWr Wr,RH Acct NumberRH Acct Number,PublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPu,12/12/3000,0,1022.50,MarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMar,00999,00999,AuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAut
1984,Appendix: The Principles of Newspeak,9.78015E+12,123456789,1000009522,"Publisher",12\22/3000,65,-15.55,"Univ,Bus,Doc,S",null,10000,"Aarseth, Espen J."
1984,Appendix: The Principles of Newspeak,9.78015E+12,0,0,"Publisher",12/22/3000,6 5,30.8,"Univ,Bus,Doc,S",12.3,12l,"Aarseth, Espen J."
,,,,,,,,,,,,,
,,,,,,,,,,,
A.M.A. ARCHIVES OF DERMATOLOGY,,0096-5359,122890652,1000004570,AMERICAN MEDICAL ASSOCIATION,1/1/2001,,2457.47,"Bus, Doc Del",2015,2016,
A.M.A. ARCHIVES OF DERMATOLOGY,,0096-5359,,1000004570,AMERICAN MEDICAL ASSOCIATION,1/1/2001,,2457.47,"Bus, Doc Del",2015,2016,
A.M.A. ARCHIVES OF DERMATOLOGY,,0096-5359,122890652,,AMERICAN MEDICAL ASSOCIATION,1/1/2001,,2457.47,"Bus, Doc Del",2015,2016,
A.M.A. ARCHIVES OF DERMATOLOGY,,0096-5359,,,AMERICAN MEDICAL ASSOCIATION,1/1/2001,,2457.47,"Bus, Doc Del",2015,2016,
